ticker,name,kind,exchange,benchmark
^SPX,S&P 500,index,,
^DJI,Dow Jones Industrial Average,index,,
^NDX,Nasdaq 100,index,,
^NDQ,Nasdaq Composite,index,,
^RUT,Russell 2000,index,,
^VIX,CBOE Volatility Index,index,,
SPY,SPDR S&P 500 ETF Trust,etf,,^SPX
VOO,Vanguard S&P 500 ETF,etf,,^SPX
IVV,iShares Core S&P 500 ETF,etf,,^SPX
VTI,Vanguard Total Stock Market ETF,etf,,^SPX
ITOT,iShares Core S&P Total U.S. Stock Market ETF,etf,,^SPX
QQQ,Invesco QQQ Trust,etf,,^NDX
DIA,SPDR Dow Jones Industrial Average ETF,etf,,^DJI
VUG,Vanguard Growth ETF,etf,,^SPX
VTV,Vanguard Value ETF,etf,,^SPX
IWF,iShares Russell 1000 Growth ETF,etf,,^SPX
IWD,iShares Russell 1000 Value ETF,etf,,^SPX
VIG,Vanguard Dividend Appreciation ETF,etf,,^SPX
VYM,Vanguard High Dividend Yield ETF,etf,,^SPX
VO,Vanguard Mid-Cap ETF,etf,,^SPX
IJH,iShares Core S&P Mid-Cap ETF,etf,,^SPX
VB,Vanguard Small-Cap ETF,etf,,^RUT
IJR,iShares Core S&P Small-Cap ETF,etf,,^RUT
IWM,iShares Russell 2000 ETF,etf,,^RUT
VGT,Vanguard Information Technology ETF,etf,,^SPX
VNQ,Vanguard Real Estate ETF,etf,,^SPX
VXUS,Vanguard Total International Stock ETF,etf,,
IXUS,iShares Core MSCI Total International Stock ETF,etf,,
VEA,Vanguard FTSE Developed Markets ETF,etf,,
IEFA,iShares Core MSCI EAFE ETF,etf,,
EFA,iShares MSCI EAFE ETF,etf,,
VWO,Vanguard FTSE Emerging Markets ETF,etf,,
IEMG,iShares Core MSCI Emerging Markets ETF,etf,,
EEM,iShares MSCI Emerging Markets ETF,etf,,
VT,Vanguard Total World Stock ETF,etf,,
BND,Vanguard Total Bond Market ETF,etf,,
AGG,iShares Core US Aggregate Bond ETF,etf,,
BNDX,Vanguard Total International Bond ETF,etf,,
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,etf,,
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,etf,,
TIP,iShares TIPS Bond ETF,etf,,
IEF,iShares 7-10 Year Treasury Bond ETF,etf,,
TLT,iShares 20+ Year Treasury Bond ETF,etf,,
SHY,iShares 1-3 Year Treasury Bond ETF,etf,,
VBIL,Vanguard 0-3 Month Treasury Bill ETF,etf,,
GLD,SPDR Gold Shares,etf,,
IAU,iShares Gold Trust,etf,,
SLV,iShares Silver Trust,etf,,
IBIT,iShares Bitcoin Trust,etf,,
MMM,3M,stock,,
AOS,A. O. Smith,stock,,
ABT,Abbott Laboratories,stock,,
ABBV,AbbVie,stock,,
ACN,Accenture,stock,,
ADBE,Adobe Inc.,stock,,
AMD,Advanced Micro Devices,stock,,
AES,AES Corporation,stock,,
AFL,Aflac,stock,,
A,Agilent Technologies,stock,,
APD,Air Products,stock,,
ABNB,Airbnb,stock,,
AKAM,Akamai Technologies,stock,,
ALB,Albemarle Corporation,stock,,
ARE,Alexandria Real Estate Equities,stock,,
ALGN,Align Technology,stock,,
ALLE,Allegion,stock,,
LNT,Alliant Energy,stock,,
ALL,Allstate,stock,,
GOOGL,Alphabet Inc. (Class A),stock,,
GOOG,Alphabet Inc. (Class C),stock,,
MO,Altria,stock,,
AMZN,Amazon,stock,,
AMCR,Amcor,stock,,
AEE,Ameren,stock,,
AEP,American Electric Power,stock,,
AXP,American Express,stock,,
AIG,American International Group,stock,,
AMT,American Tower,stock,,
AWK,American Water Works,stock,,
AMP,Ameriprise Financial,stock,,
AME,Ametek,stock,,
AMGN,Amgen,stock,,
APH,Amphenol,stock,,
ADI,Analog Devices,stock,,
AON,Aon plc,stock,,
APA,APA Corporation,stock,,
APO,Apollo Global Management,stock,,
AAPL,Apple Inc.,stock,,
AMAT,Applied Materials,stock,,
APP,AppLovin,stock,,
APTV,Aptiv,stock,,
ACGL,Arch Capital Group,stock,,
ADM,Archer Daniels Midland,stock,,
ARES,Ares Management,stock,,
ANET,Arista Networks,stock,,
AJG,Arthur J. Gallagher & Co.,stock,,
AIZ,Assurant,stock,,
T,AT&T,stock,,
ATO,Atmos Energy,stock,,
ADSK,Autodesk,stock,,
ADP,Automatic Data Processing,stock,,
AZO,AutoZone,stock,,
AVB,AvalonBay Communities,stock,,
AVY,Avery Dennison,stock,,
AXON,Axon Enterprise,stock,,
BKR,Baker Hughes,stock,,
BALL,Ball Corporation,stock,,
BAC,Bank of America,stock,,
BAX,Baxter International,stock,,
BDX,Becton Dickinson,stock,,
BRK.B,Berkshire Hathaway,stock,,
BBY,Best Buy,stock,,
TECH,Bio-Techne,stock,,
BIIB,Biogen,stock,,
BLK,BlackRock,stock,,
BX,Blackstone Inc.,stock,,
XYZ,"Block, Inc.",stock,,
BNY,BNY Mellon,stock,,
BA,Boeing,stock,,
BKNG,Booking Holdings,stock,,
BSX,Boston Scientific,stock,,
BMY,Bristol Myers Squibb,stock,,
AVGO,Broadcom,stock,,
BR,Broadridge Financial Solutions,stock,,
BRO,Brown & Brown,stock,,
BF.B,Brown–Forman,stock,,
BLDR,Builders FirstSource,stock,,
BG,Bunge Global,stock,,
BXP,"BXP, Inc.",stock,,
CHRW,C.H. Robinson,stock,,
CDNS,Cadence Design Systems,stock,,
CPT,Camden Property Trust,stock,,
CPB,Campbell's Company (The),stock,,
COF,Capital One,stock,,
CAH,Cardinal Health,stock,,
CCL,Carnival Corporation,stock,,
CARR,Carrier Global,stock,,
CVNA,Carvana,stock,,
